iter	Passed	Remaining
0	139	138954
1	140	69940
2	141	47095
3	145	36146
4	148	29467
5	150	24905
6	151	21462
7	155	19249
8	156	17265
9	158	15654
10	160	14432
11	161	13333
12	163	12397
13	165	11657
14	166	10934
15	167	10272
16	168	9727
17	168	9215
18	170	8814
19	171	8411
20	173	8083
21	175	7794
22	177	7536
23	178	7268
24	180	7032
25	181	6802
26	182	6591
27	184	6403
28	185	6219
29	186	6043
30	187	5874
31	189	5719
32	190	5580
33	191	5442
34	192	5309
35	193	5183
36	194	5057
37	195	4943
38	196	4831
39	196	4722
40	197	4618
41	198	4520
42	198	4426
43	199	4339
44	200	4254
45	201	4174
46	201	4093
47	202	4016
48	203	3941
49	203	3869
50	204	3801
51	205	3738
52	205	3674
53	206	3612
54	206	3551
55	207	3494
56	207	3437
57	208	3382
58	208	3329
59	209	3278
60	209	3229
61	210	3180
62	210	3136
63	211	3092
64	211	3049
65	212	3008
66	213	2968
67	213	2928
68	214	2889
69	214	2851
70	215	2815
71	215	2780
72	216	2747
73	216	2714
74	217	2682
75	217	2650
76	218	2619
77	218	2588
78	219	2559
79	220	2531
80	220	2502
81	221	2474
82	221	2445
83	221	2420
84	222	2394
85	222	2369
86	223	2345
87	223	2321
88	224	2297
89	224	2274
90	225	2252
91	225	2230
92	226	2208
93	226	2187
94	227	2167
95	228	2147
96	228	2127
97	229	2108
98	229	2088
99	230	2070
100	230	2052
101	231	2034
102	231	2017
103	232	1999
104	232	1983
105	233	1966
106	233	1950
107	234	1934
108	234	1918
109	235	1903
110	235	1887
111	236	1872
112	236	1857
113	237	1843
114	237	1828
115	238	1814
116	238	1799
117	238	1786
118	239	1772
119	240	1761
120	240	1747
121	240	1734
122	241	1721
123	241	1708
124	242	1696
125	242	1683
126	243	1671
127	243	1660
128	244	1648
129	244	1637
130	245	1625
131	245	1614
132	246	1604
133	246	1593
134	247	1583
135	247	1573
136	248	1562
137	248	1552
138	249	1542
139	249	1532
140	250	1523
141	250	1512
142	250	1503
143	251	1493
144	251	1484
145	252	1475
146	252	1466
147	253	1456
148	253	1448
149	254	1440
150	254	1431
151	255	1423
152	255	1415
153	256	1407
154	256	1399
155	257	1391
156	257	1383
157	258	1376
158	258	1368
159	259	1361
160	259	1353
161	260	1345
162	260	1338
163	261	1330
164	261	1323
165	262	1316
166	262	1309
167	262	1302
168	263	1295
169	263	1288
170	264	1281
171	264	1275
172	265	1268
173	265	1261
174	266	1255
175	266	1248
176	267	1242
177	267	1235
178	268	1229
179	268	1223
180	268	1217
181	269	1211
182	269	1204
183	270	1199
184	270	1193
185	271	1187
186	271	1181
187	272	1175
188	272	1170
189	273	1164
190	273	1159
191	274	1153
192	274	1148
193	275	1142
194	275	1137
195	275	1131
196	276	1126
197	276	1121
198	277	1116
199	277	1110
200	278	1105
201	278	1100
202	279	1095
203	279	1090
204	280	1086
205	280	1081
206	281	1077
207	281	1073
208	282	1068
209	282	1063
210	283	1059
211	283	1054
212	284	1049
213	284	1045
214	285	1041
215	285	1036
216	286	1032
217	286	1027
218	287	1023
219	287	1019
220	288	1015
221	288	1011
222	289	1007
223	289	1002
224	289	998
225	290	994
226	290	990
227	291	986
228	291	982
229	292	978
230	292	974
231	293	971
232	293	967
233	294	963
234	294	959
235	295	955
236	295	951
237	296	947
238	296	943
239	296	940
240	297	936
241	297	932
242	298	929
243	298	926
244	299	922
245	299	918
246	300	915
247	300	911
248	301	908
249	301	904
250	301	901
251	302	898
252	303	896
253	304	893
254	304	889
255	305	886
256	305	883
257	305	880
258	306	876
259	306	873
260	307	870
261	307	867
262	308	864
263	308	861
264	309	858
265	309	855
266	310	851
267	310	848
268	311	845
269	311	842
270	312	839
271	312	836
272	313	833
273	313	830
274	314	827
275	314	825
276	314	822
277	315	819
278	315	816
279	316	813
280	316	810
281	317	808
282	318	805
283	318	803
284	319	800
285	319	797
286	320	795
287	320	793
288	321	790
289	321	788
290	322	785
291	322	782
292	323	780
293	323	777
294	324	775
295	324	772
296	325	769
297	325	767
298	326	764
299	326	762
300	327	759
301	327	757
302	328	754
303	328	752
304	328	749
305	329	747
306	329	744
307	330	742
308	330	739
309	331	737
310	332	735
311	332	733
312	333	731
313	333	728
314	334	726
315	334	724
316	335	721
317	335	719
318	336	717
319	336	715
320	337	712
321	337	710
322	337	708
323	338	706
324	338	703
325	339	701
326	339	699
327	340	697
328	340	694
329	341	692
330	341	690
331	342	688
332	342	686
333	343	684
334	343	682
335	344	680
336	344	678
337	345	676
338	345	674
339	346	672
340	346	670
341	347	668
342	347	666
343	348	664
344	348	662
345	349	660
346	349	658
347	350	656
348	350	654
349	351	652
350	351	650
351	352	648
352	352	646
353	353	644
354	353	642
355	353	640
356	354	638
357	354	636
358	355	634
359	355	632
360	356	630
361	356	628
362	357	626
363	357	624
364	358	622
365	358	621
366	358	619
367	359	617
368	359	615
369	360	613
370	360	611
371	361	609
372	361	607
373	362	606
374	362	604
375	363	602
376	363	600
377	363	598
378	364	597
379	364	595
380	365	593
381	365	591
382	366	590
383	366	588
384	367	586
385	367	584
386	368	583
387	368	581
388	369	579
389	369	578
390	370	576
391	370	575
392	371	573
393	371	572
394	372	570
395	372	568
396	373	567
397	374	566
398	374	564
399	375	563
400	376	562
401	376	560
402	377	558
403	377	557
404	378	555
405	378	553
406	379	552
407	379	550
408	379	549
